"F1-10"	"F1-11"	"F1-12"	"F1-13"	"F1-14"	"F1-15"	"F1-16"	"F1-17"	"F1-18"	"F1-19"	"F1-20"	"F1-21"	"F1-22"	"F1-7"	"F1-8"	"F1-9"	"F3-10"	"F3-11"	"F3-12"	"F3-7"	"F3-8"	"F3-9"
"Sellimonas intestinalis"	5.02182601722436	4.18863321070309	4.36641713415225	4.50302515451989	4.1022686801979	4.61835110728736	5.29974867933393	5.36183278639341	5.26607424022262	4.14432346810808	4.39140825441358	4.56090838323272	4.47375269644614	4.57356512283537	3.89076981773152	3.93342437781232	5.23810325250162	4.83610782613957	4.91140101209582	5.18834379100242	5.49504135211041	3.73439005503105
"Lacrimispora sphenoides"	4.02217056657655	3.38664854288923	4.34384885277755	4.24300364108525	3.76127735199692	3.8612359143666	3.68365933665392	3.72820945917408	3.6528855288472	3.68646666172457	3.90142750354211	3.8506430287503	3.82440454283668	3.27171816341673	3.7157450575143	3.07615854448042	4.01510230717105	3.46071167066149	4.78611827134374	4.9773885933086	4.21006484887661	4.03400230904318
"Lacrimispora saccharolytica"	3.99359640342154	3.34354106807647	4.33723864142247	4.23669898297683	3.73593444375505	3.85486791430212	3.5789964231976	3.70303505579247	3.53754443992679	3.69156792909236	3.85086825896699	3.81602198736428	3.76913109223163	3.23669842617852	3.71409949768002	3.08980608681654	4.00235760651035	3.46172959450089	4.8232292516233	4.996869190415	4.14572794456948	3.99602919166365
"Roseburia intestinalis"	3.77450301226378	3.47169645976599	4.11802393863843	3.89596146993838	3.52448408787187	3.65838032375962	3.90961549441479	3.8486808557348	3.92377552838612	3.36037266856882	4.12191260496983	3.93645549738442	3.81327346486192	3.76990310480297	3.49541890478118	3.41094143966935	3.93804185613094	3.61756416060759	4.30567777393631	4.1400963256253	4.02817847378465	4.21678979883377
"Roseburia hominis"	4.50040621405637	3.13131219178839	3.75418611241358	3.98543252297643	3.33170008956001	3.74264854334653	3.83384530813618	3.7274894901631	3.80527161739642	3.2975234414191	3.93023524032945	3.87323968836359	3.91268320132473	2.97050506772025	3.34439443605642	3.89626450446772	3.73860043069147	3.36884177664062	3.98039460888774	4.01002893346831	3.4214310457026	4.76111069613269
"Roseburia sp. NSJ-69"	3.0284277401934	2.73199289978618	3.29223590882101	3.06949068003643	2.70193215385894	3.13244191140327	3.33013812213311	3.16463359585335	3.28735198450203	2.5711682217218	3.40876982610547	3.31563694838221	3.32573967254607	2.58188795291666	3.10775794514192	2.3853968933841	3.26260243901862	2.86816969202932	3.48201464014173	3.57718389054938	3.0304782784089	3.73024412242779
"Dorea longicatena"	3.93628617843655	3.88554983672804	4.11278645499198	4.00684060902455	3.54249431322746	3.29504074412426	3.50971553624879	3.61250284935155	3.54274249580439	2.88893030750864	3.38320626749169	3.37925923385711	3.31780688906888	4.45858962135357	3.53149361069417	3.80099342271303	3.96105194659595	3.66215555889307	4.32910881394028	4.42351551245035	4.47963004500167	3.83802618773275
"Coprococcus catus"	3.89940770021931	3.43932714195686	3.82606671282003	3.81572685692475	3.24382503772413	3.33273282028517	3.36716578712813	3.36982584276733	3.41223469372585	2.93392864638524	3.39044333600398	3.42195107300997	3.36176070832113	4.01986370965317	3.21799416980952	3.5672933258741	3.60822539884947	3.360418423807	3.9704525875705	4.12016804542142	4.08611683994708	3.67979542984772
"Coprococcus comes"	3.3870666223504	3.31981748518355	3.6434172538303	3.45236743478362	3.06985983618943	3.33487649436358	3.66453787350384	3.57136482604427	3.63335448854179	2.91998641268983	3.54411698454995	3.52860180714475	3.4583112509648	3.49255900564056	3.46130795907498	2.95388521571263	3.63408740442307	3.28545910919874	3.92243723434045	3.78835204374002	3.58765463806222	3.76454045728129
"Coprococcus sp. ART55/1"	3.66390539958812	2.42473163976218	2.98078038245251	3.30049218469995	2.67907391548701	3.16377519374308	3.20088498047232	3.18369676076383	3.25005091070374	2.62916652803192	3.26270956091179	3.24296099638605	3.17353747728466	2.28401739444314	2.75226202363199	3.15278842331604	3.28709149615777	3.08948367629862	3.28278370576196	3.16216106864815	3.25353538399245	3.39657771046535
"Coprococcus eutactus"	3.14481686481664	2.53482560882737	2.96383704930102	3.07592411339003	2.52159095327273	3.02729794550943	3.10444346893453	3.0882416446597	3.03489370125434	2.53832400314087	3.24734324622253	3.14332974985683	3.1350985370645	2.25908912171467	2.95245019118041	2.18678192414079	3.15382059616158	2.8711505159617	3.35897744314948	3.30120929926866	3.09638600087692	3.41129515846162
"Simiaoa sunii"	3.52311382056355	3.11666408483046	3.81099393689978	3.61334062312758	3.26515121615493	3.70462886858453	3.84507209548085	3.65419310219405	3.9074697438868	3.24539767660766	3.93305256889457	3.95172836433656	3.90072578680495	3.00484763586831	3.35573034486266	2.83868642707362	3.80359923280769	3.48148110780243	4.27166043715681	3.91021188444001	3.42299673438219	3.88539948028346
"Faecalicatena sp. Marseille-Q4148"	3.68452304819333	3.43241401353968	3.61818566680092	3.50950061813328	3.13944098104291	3.58198428520083	3.66011004698435	3.65995538819805	3.69813714193841	3.09152027099652	3.49683493877639	3.46196178725683	3.58489864779305	3.47962853967334	3.66500259338843	3.1769102779635	3.66130801845751	3.33531324511557	3.81548434531237	3.77523693836667	3.6759714026216	4.11850276301102
"Wansuia hejianensis"	3.36944164936501	3.00243577206352	3.7242715921389	3.58865946956387	3.231304419072	3.6182002734492	3.5159625669821	3.72777762101019	3.604846610104	3.430163544708	3.50068943261665	3.65752709054154	3.53608833382788	3.18309408854909	3.24832044420668	2.80059748877558	3.71140432218877	3.36647433820361	3.91335709140017	3.99557445341959	3.587297922555	3.75859746449322
"Qiania dongpingensis"	3.46156657974467	3.05534278506336	3.72207715921422	3.62791519718409	3.21221949692788	3.52350103036065	3.43291418324885	3.37699062256031	3.41498060369765	3.23602381551875	3.50622209045319	3.55620941056112	3.54837906631532	3.02436777457866	3.30439129635174	2.71216712906528	3.78066295081785	3.39406584432596	3.81806307564064	4.00264278384223	3.51103181434149	3.68935911702007
"Anaerocolumna chitinilytica"	3.06033171908569	2.65852827526624	3.32332289385351	3.11410784251937	2.80637157690437	2.97605166717218	3.09738721212886	2.98045230435289	3.09223304036723	2.59021101971981	3.08706204446336	3.12852506517957	3.05904047192098	2.58188795291666	2.76556657559386	2.37512360552029	3.13428807538137	2.92421431647242	3.39750319631047	3.5665504262944	3.06586839443051	3.21575763950114
