"F1-10"	"F1-11"	"F1-12"	"F1-13"	"F1-14"	"F1-15"	"F1-16"	"F1-17"	"F1-18"	"F1-19"	"F1-20"	"F1-21"	"F1-22"	"F1-7"	"F1-8"	"F1-9"	"F3-10"	"F3-11"	"F3-12"	"F3-7"	"F3-8"	"F3-9"
"Acutalibacter muris"	1426	360	2216	2178	566	4756	1486	1592	4584	1055	8100	4689	6369	343	3115	354	2930	4165	312	114	1361	1718
"Caproicibacterium amylolyticum"	436	107	572	517	259	663	158	205	509	138	912	565	745	46	527	95	575	694	188	88	282	333
"Caproicibacterium lactatifermentans"	269	151	378	441	299	300	93	161	323	87	533	337	396	62	392	129	490	598	79	34	139	252
"Caproicibacter fermentans"	482	88	816	755	449	927	189	278	609	293	753	480	711	44	852	130	669	954	283	116	360	465
"Caproiciproducens sp. NJN-50"	416	111	574	539	317	408	101	161	271	229	483	361	486	59	842	118	666	964	86	43	195	313
"Ethanoligenens harbinense"	341	96	401	550	315	611	95	160	298	174	796	266	544	33	712	93	679	1203	138	36	120	354
"Acetivibrio thermocellus"	133	35	231	121	115	268	76	117	333	82	514	307	461	26	111	67	81	75	19	0	77	172
"Acetivibrio clariflavus"	125	44	126	132	105	65	38	52	71	19	184	108	89	27	102	33	74	61	20	19	66	119
"Acetivibrio saccincola"	53	19	91	65	45	51	17	21	43	13	111	71	77	34	49	40	40	52	16	0	23	73
"Thermoclostridium stercorarium"	292	59	398	381	272	329	96	91	172	67	333	244	335	25	263	111	165	203	102	53	103	173
"Pseudoclostridium thermosuccinogenes"	257	35	424	287	197	144	64	98	151	49	315	179	217	49	221	42	203	246	75	51	168	172
"Ruminiclostridium herbifermentans"	124	36	125	65	45	33	29	28	39	0	146	56	92	47	110	62	86	134	19	0	45	118
"Ruminiclostridium cellulolyticum"	83	30	89	105	47	47	42	38	63	14	156	51	77	16	52	32	69	70	0	18	58	90
"Mageeibacillus indolicus"	68	27	79	116	75	161	55	40	129	63	407	193	290	10	104	20	68	91	80	24	27	105
"Clostridium sp. M62/1"	12421	3021	20825	17887	11437	21467	2238	3473	4582	4617	20271	8639	10014	1324	17922	4374	14734	14208	5882	3129	6636	10829
"Clostridium sp. SY8519"	1110	367	2223	2177	1140	2285	545	650	1698	582	3572	2150	2776	179	1695	362	1022	878	577	292	972	1084
"Clostridium sp. C1"	658	42	230	183	106	330	120	486	417	21	211	78	93	87	187	180	107	82	24	31	134	146
"Clostridium sp. DL-VIII"	639	114	590	176	443	62	34	37	43	0	139	37	73	516	213	407	69	117	22	12	98	138
