"F1-10"	"F1-11"	"F1-12"	"F1-13"	"F1-14"	"F1-15"	"F1-16"	"F1-17"	"F1-18"	"F1-19"	"F1-20"	"F1-21"	"F1-22"	"F1-7"	"F1-8"	"F1-9"	"F3-10"	"F3-11"	"F3-12"	"F3-7"	"F3-8"	"F3-9"
"Rothia mucilaginosa"	94	0	86	94	34	163	24	28	90	45	179	112	180	0	54	0	57	62	40	16	11	52
"Micrococcus luteus"	32	0	86	106	37	256	0	41	0	69	58	20	87	0	481	0	142	358	0	0	27	50
"Cellulomonas gilvus"	55	58	167	126	134	230	20	28	89	54	86	68	59	18	643	33	27	95	0	0	16	37
"Streptomyces sp. ICC4"	345	0	282	423	264	197	231	205	237	0	223	167	240	0	0	0	617	732	0	0	0	195
"Streptomyces venezuelae"	122	0	150	195	109	321	50	67	82	112	225	77	173	40	520	39	286	386	149	0	54	121
"Streptomyces hygroscopicus"	69	0	74	87	30	86	0	31	0	38	29	0	25	0	140	0	141	112	59	0	0	91
"Streptomyces albus"	39	0	57	64	41	67	0	36	31	76	43	44	50	0	86	0	52	104	0	0	36	32
"Corynebacterium glutamicum"	137	0	206	231	93	267	0	0	0	0	283	81	219	0	382	0	0	61	82	0	68	0
"Nocardia asteroides"	59	31	80	102	29	224	29	31	53	66	70	39	56	14	262	20	123	240	13	63	62	54
"Rhodococcus opacus"	121	0	34	66	82	131	44	68	105	30	104	108	170	0	73	0	109	139	130	48	160	25
"Gordonia sp. YC-JH1"	62	0	141	142	71	116	0	0	0	52	43	0	63	0	200	23	43	65	138	0	0	87
"Tessaracoccus aquimaris"	64	0	71	120	105	104	0	22	0	65	63	39	83	0	211	0	80	70	0	47	76	61
"Tessaracoccus flavescens"	44	22	56	71	46	248	34	44	116	16	162	113	160	0	425	0	32	161	84	70	66	53
"Propionibacterium freudenreichii"	63	12	127	113	86	396	31	81	219	57	217	159	239	0	272	44	92	235	42	0	20	101
"Acidipropionibacterium jensenii"	41	0	115	143	49	144	38	0	58	16	96	50	93	0	84	0	47	82	75	79	68	27
"Actinocatenispora thailandica"	106	53	169	167	185	76	0	17	44	64	64	22	53	21	504	51	35	75	15	10	23	10
"Actinomyces procaprae"	33	0	42	57	94	139	16	30	55	52	32	87	105	0	386	0	67	237	47	0	58	84
"Nonomuraea nitratireducens"	62	0	45	113	48	86	20	33	37	60	39	33	70	0	212	0	67	124	22	0	27	70
"Eggerthella lenta"	11425	4580	78809	32202	80496	116632	12143	45149	24623	55379	34005	34089	61398	8048	183279	84375	17879	70209	21311	5052	10399	27222
"Eggerthella guodeyinii"	777	64	2297	1169	2421	18506	11730	40126	21662	43857	3471	23090	27360	75	5983	286	2251	6211	341	755	760	395
"Eggerthella sp. YY7918"	175	32	198	193	287	1060	469	1473	850	1921	454	982	1217	24	1176	21	362	675	222	85	171	175
"Gordonibacter pamelaeae"	7598	689	6490	4150	7052	35277	6722	23809	16185	43847	28300	19745	31838	647	97391	2832	10063	28369	9213	486	3297	15172
"Gordonibacter urolithinfaciens"	1575	161	1051	738	1188	6258	1242	4554	2532	10329	5858	4665	7701	134	19756	91	2108	5209	1547	114	731	2230
"Adlercreutzia equolifaciens"	1398	414	289	3208	876	37725	2684	8656	6924	39712	29817	14711	53161	58	181522	84	6686	15616	6602	1458	4619	14774
"Adlercreutzia hattorii"	1032	301	307	2382	621	24762	1981	5900	5039	26895	20428	10043	36371	46	120398	66	4972	10829	4840	1045	3244	10439
"Arabiibacter massiliensis"	372	48	427	408	674	3236	1682	5737	3030	6280	962	3479	4198	27	2500	43	608	1711	269	120	238	393
"Raoultibacter timonensis"	246	53	185	258	334	1093	338	1100	630	1087	333	689	984	31	1990	64	308	909	158	33	219	289
"Slackia heliotrinireducens"	117	37	90	187	227	751	57	189	230	350	322	269	484	36	1335	31	237	638	76	15	106	193
"Berryella intestinalis"	243	49	79	265	293	934	211	607	288	556	220	346	572	45	1651	22	392	1098	72	32	154	363
"Denitrobacterium detoxificans"	101	37	70	139	167	536	93	246	150	257	133	151	287	22	941	20	158	485	57	0	151	154
"Phoenicibacter congonensis"	51	16	38	93	71	320	41	124	81	53	39	54	69	14	337	36	58	225	76	0	41	103
"Collinsella stercoris"	37842	9460	6172	42057	59762	167431	6505	18656	16115	23336	22571	14486	41653	6756	365391	4255	35730	128921	21830	1723	36011	54898
"Collinsella aerofaciens"	8811	2103	1605	9481	12943	36790	1452	4343	3620	5179	5275	3342	9235	1634	69430	1025	8370	27855	4841	496	8300	12253
"Collinsella sp. zg1085"	138	25	39	147	232	522	26	54	70	51	112	48	143	19	958	15	132	522	63	0	116	206
"Coriobacterium glomerans"	336	78	138	470	524	1304	64	159	145	261	297	156	385	51	2831	47	351	1036	169	37	334	489
"Parolsenella massiliensis"	881	238	213	1123	1457	4014	160	527	517	681	727	447	1160	150	8981	132	1045	3247	539	72	875	1341
"Parolsenella catena"	759	171	162	817	1028	2940	122	414	301	440	464	248	767	142	6366	202	782	2382	362	27	670	1039
"Olsenella timonensis"	918	200	220	1139	1440	3843	168	498	422	735	640	451	1134	161	9115	98	904	3048	532	71	950	1227
"Olsenella uli"	311	77	84	382	446	1046	43	143	132	163	201	101	291	51	2103	29	342	974	212	29	222	335
"Olsenella sp. oral taxon 807"	133	32	81	166	201	724	39	109	108	416	308	189	527	24	2784	17	187	564	150	24	169	253
"Thermophilibacter immobilis"	555	159	117	544	734	1986	94	248	214	341	294	206	575	72	4940	44	508	1761	253	22	462	770
"Parafannyhessea umbonata"	468	110	184	556	677	1880	137	280	306	360	487	367	722	70	3995	51	548	1644	275	42	467	625
"Atopobium sp. oral taxon 416"	214	33	56	132	170	415	28	42	74	89	122	74	167	14	1075	18	159	346	63	0	101	173
"Lancefieldella parvula"	74	20	28	65	81	169	16	35	73	32	169	60	97	16	201	0	58	171	21	0	40	61
"Rubrobacter xylanophilus"	33	13	59	57	46	138	14	28	29	32	103	59	126	0	314	0	95	205	15	13	51	62
"Synechococcus sp. M16.1"	91	63	232	184	199	112	42	64	73	88	63	73	82	23	162	52	0	0	0	0	0	0
"Dehalococcoides mccartyi"	125	169	153	962	1193	189	258	432	327	28	267	97	236	36	88	625	161	212	122	0	60	161
"Akkermansia muciniphila"	1573051	574446	687423	1093414	725981	2827720	238043	260137	1413119	2781769	2452380	2253143	1090427	256551	1795890	899832	1453524	3577526	356732	130256	23723	943251
"Aquisphaera giovannonii"	98	13	116	98	87	196	0	22	20	30	119	55	64	0	346	12	89	235	34	19	43	87
"Escherichia coli"	1047196	1747773	1034838	1434343	5273624	114660	88354	195384	147223	2138	12871	2432	5450	1013875	1118712	7250490	8491	4176	2279	14469	1135	93351
"Escherichia albertii"	1415	3833	2226	2347	7977	211	201	479	319	17	58	15	74	2412	1667	12894	47	28	25	42	73	194
"Escherichia fergusonii"	1244	3739	1942	2031	7751	277	195	435	264	24	29	26	58	2287	1680	11779	50	0	0	44	106	119
"Escherichia marmotae"	816	2342	1351	1344	5022	94	134	293	192	24	0	0	12	1611	1047	7998	0	0	0	16	0	79
"Escherichia sp. E4742"	715	1909	1041	1101	3904	132	91	245	176	0	25	0	0	1215	775	6323	0	0	0	11	0	69
"Klebsiella pneumoniae"	2254	4112	2740	3029	8100	1539	359	642	620	1004	1804	830	627	2785	2408	13637	15889	1657	520	140	544	506
"Klebsiella aerogenes"	322	320	374	451	739	265	77	111	180	118	379	270	440	191	360	1049	86	150	141	99	294	111
"Klebsiella oxytoca"	148	307	300	256	597	192	40	67	79	46	151	119	157	201	172	940	58	97	0	12	98	40
"Klebsiella michiganensis"	183	416	269	281	773	100	29	69	94	77	196	197	209	249	249	1389	45	269	0	0	50	32
"Klebsiella quasipneumoniae"	159	376	246	253	630	165	41	67	59	0	152	72	104	228	183	1169	23	76	63	26	51	58
"Klebsiella grimontii"	90	72	122	132	139	156	23	32	30	0	109	67	124	75	118	212	20	39	0	0	77	46
"Klebsiella huaxiensis"	43	169	132	125	411	62	0	15	25	0	0	30	0	99	92	609	0	0	0	0	14	0
"Klebsiella variicola"	125	177	163	147	404	24	15	35	15	0	39	58	0	120	73	583	15	32	0	0	0	0
"Raoultella planticola"	44	73	92	115	161	90	25	31	43	28	205	139	162	59	50	236	32	35	80	34	44	15
"Raoultella ornithinolytica"	205	509	435	478	1098	169	34	59	52	80	80	98	90	304	285	1551	28	54	115	0	0	24
"Enterobacter cloacae"	320	824	535	977	1856	258	86	176	153	84	197	74	124	520	463	2940	142	252	0	0	83	179
"Enterobacter hormaechei"	475	1395	993	940	2337	434	156	250	279	159	320	628	564	758	711	3900	267	290	356	60	216	171
"Enterobacter cancerogenus"	67	169	110	151	309	88	26	41	49	16	158	52	144	107	96	525	29	51	0	0	0	23
"Enterobacter asburiae"	173	323	246	185	624	132	39	80	56	50	118	94	86	234	200	1044	53	140	0	0	43	0
"Enterobacter kobei"	124	146	192	154	485	135	37	69	79	82	111	0	109	107	93	527	0	0	0	0	111	34
"Enterobacter ludwigii"	58	216	126	105	352	0	0	40	50	0	181	0	45	133	79	612	0	0	0	0	0	0
"Enterobacter roggenkampii"	133	241	175	133	648	91	20	35	84	45	244	65	180	162	147	954	0	0	0	0	0	0
"Enterobacter sp. SA187"	155	243	238	245	583	207	37	54	92	41	128	107	157	149	232	848	62	90	57	28	35	88
"Enterobacter sp. JUb54"	107	236	141	152	515	39	12	41	34	16	42	21	45	124	112	795	20	28	0	11	41	40
"Enterobacter sp. E76"	43	157	72	65	238	26	0	22	0	43	32	0	71	97	86	446	0	111	0	0	0	0
"Enterobacter mori"	77	145	110	134	358	31	0	20	21	0	0	0	0	79	97	593	0	0	0	0	30	0
"Citrobacter freundii"	608	1747	1193	1162	3457	340	278	422	206	104	558	343	566	1049	844	5721	112	272	0	0	108	181
"Citrobacter portucalensis"	186	436	411	314	1174	63	0	123	49	143	278	0	210	317	211	1627	0	0	0	0	0	45
"Citrobacter werkmanii"	80	247	167	139	461	26	0	49	23	0	0	0	0	169	109	721	0	0	0	0	0	0
"Citrobacter sp. R56"	89	285	165	154	569	69	31	46	35	0	0	0	33	182	158	936	14	20	0	0	0	13
"Citrobacter sp. RHB25-C09"	107	349	144	182	579	34	21	36	35	0	0	0	0	203	156	973	13	13	0	0	0	14
"Citrobacter rodentium"	152	326	289	257	673	59	18	66	64	38	113	42	116	221	180	1153	16	14	28	0	0	30
"Citrobacter farmeri"	84	320	156	175	604	20	18	48	35	16	43	17	34	189	144	946	0	19	0	0	0	14
"Citrobacter amalonaticus"	112	425	236	262	812	47	43	105	30	44	0	45	45	291	179	1286	29	0	0	0	0	51
"Citrobacter koseri"	946	1261	190	610	3160	23	0	36	452	0	0	0	0	984	901	4701	0	0	0	0	0	36
"Salmonella enterica"	3175	7478	5034	5475	15840	1904	617	1231	1107	999	2349	1794	2302	5205	5091	26363	451	1126	794	186	878	470
"Salmonella bongori"	163	375	263	251	799	99	18	35	68	0	33	0	0	325	183	1380	35	32	0	0	19	25
"Shigella flexneri"	4533	7924	5242	6716	22053	634	464	984	705	0	870	174	504	5060	4057	26659	0	150	0	0	0	540
"Shigella boydii"	954	1815	1180	1281	4908	217	126	243	155	0	0	0	0	1250	907	6310	0	0	0	0	0	101
"Shigella dysenteriae"	503	941	531	702	2311	46	63	171	84	0	0	0	0	591	647	3384	0	0	0	0	0	19
"Shigella sonnei"	1136	1484	545	632	3327	151	31	174	140	0	0	0	0	848	731	4248	0	0	0	0	0	31
"Kosakonia sp. SMBL-WEM22"	49	94	85	51	165	28	0	22	37	27	59	46	59	58	51	257	21	24	0	0	24	19
"Kosakonia arachidis"	91	163	119	130	381	21	11	27	13	0	16	0	11	109	145	585	0	20	16	29	40	20
"Kosakonia cowanii"	75	245	124	134	488	58	45	34	34	0	95	29	61	137	98	774	0	33	0	0	0	26
"Kosakonia sacchari"	54	214	135	139	371	138	0	39	22	0	21	0	14	89	144	605	12	47	0	0	13	28
"Kosakonia radicincitans"	130	242	149	166	533	0	0	25	42	0	0	0	0	143	131	895	60	72	0	0	0	24
"Leclercia adecarboxylata"	180	430	288	287	770	244	60	90	222	49	373	260	427	303	293	1293	79	84	0	0	0	83
"Cedecea neteri"	188	371	415	362	804	316	43	64	99	56	224	126	180	212	238	1334	83	84	35	0	49	59
"Cronobacter sakazakii"	111	271	225	215	427	104	20	58	32	45	58	30	26	177	206	718	90	90	120	63	79	68
"Pluralibacter gergoviae"	91	139	120	149	278	132	13	36	51	31	122	70	99	88	178	440	57	75	79	27	18	54
"[Enterobacter] lignolyticus"	118	259	161	189	587	117	27	49	113	41	214	127	281	173	172	954	19	22	0	0	0	11
"Kluyvera intermedia"	73	173	104	116	331	50	28	35	49	0	194	21	216	127	98	622	0	0	0	0	0	16
"Kluyvera ascorbata"	102	247	172	142	430	45	16	58	40	0	99	27	42	151	183	709	45	52	0	0	28	33
"Lelliottia amnigena"	132	434	265	240	851	32	27	77	33	32	44	68	40	305	204	1353	29	35	0	0	19	40
"Candidatus Symbiopectobacterium sp. SyEd1"	67	86	171	132	175	35	13	19	18	18	92	36	31	32	74	224	31	31	56	37	46	37
"Buttiauxella agrestis"	88	132	102	105	241	182	0	42	0	0	21	0	16	105	58	440	0	12	0	0	18	27
"Pseudocitrobacter sp. G163CM"	101	217	175	171	414	63	0	31	17	35	33	18	34	179	123	745	32	37	31	0	0	32
"Jejubacter calystegiae"	143	289	157	193	563	64	12	29	32	0	32	24	19	181	133	1014	37	53	0	0	12	28
"Atlantibacter hermannii"	72	167	100	118	305	91	18	38	45	0	46	30	31	130	94	518	14	16	0	0	0	19
"Yokenella regensburgei"	80	231	109	174	427	33	21	42	32	0	45	32	57	158	101	763	0	0	0	0	0	35
"Shimwellia blattae"	61	157	104	89	276	16	0	15	16	37	37	27	39	126	77	476	11	39	0	0	16	22
"Scandinavium goeteborgense"	64	202	103	91	327	58	20	33	29	26	75	34	70	116	74	594	0	13	0	0	0	16
"Serratia marcescens"	140	26	161	261	116	582	61	58	69	59	164	162	213	0	291	29	295	573	0	0	183	178
"Serratia ficaria"	134	0	177	256	26	57	0	0	0	91	177	0	154	0	187	0	56	71	157	0	0	79
"Rahnella aquatilis"	111	24	113	74	107	69	0	0	28	34	120	83	0	0	99	64	83	81	69	0	0	82
"Pantoea dispersa"	88	73	252	220	203	145	17	30	73	55	90	65	58	46	242	79	80	91	0	13	35	22
"Pantoea vagans"	61	25	166	174	129	160	21	31	45	44	93	71	58	30	101	68	47	60	81	0	83	38
"Pantoea agglomerans"	69	22	69	100	86	141	14	28	65	19	142	68	84	0	111	20	76	108	0	0	43	63
"Erwinia persicina"	12	17	23	26	18	78	68	49	158	15	468	160	277	0	28	0	18	30	0	0	15	11
"Buchnera aphidicola"	130	53	101	38	70	14	16	15	25	0	112	31	61	43	61	93	63	60	0	0	23	41
"Dickeya zeae"	89	50	113	148	142	103	0	0	82	36	49	96	49	34	95	47	78	99	0	0	33	56
"Pectobacterium carotovorum"	113	0	258	202	163	183	43	37	125	78	300	148	236	0	115	95	104	101	0	0	33	108
"Brenneria goodwinii"	107	0	139	158	126	77	20	0	0	56	72	52	62	0	133	69	43	70	0	0	31	77
"Providencia rettgeri"	62	32	24	0	29	121	50	31	108	0	163	114	233	0	67	65	35	46	0	0	0	27
"Morganella morganii"	104	80	165	185	147	316	35	47	78	49	266	156	194	53	214	141	181	221	60	30	123	122
"Pseudomonas fluorescens"	191	34	291	450	194	787	85	103	76	206	314	164	237	0	344	53	314	390	120	71	255	206
"Pseudomonas protegens"	80	45	89	132	83	83	0	32	41	54	111	98	111	12	149	35	74	150	34	57	76	37
"Pseudomonas syringae"	47	0	94	123	67	587	90	0	259	105	313	411	116	15	57	0	36	139	38	0	41	60
"Pseudomonas aeruginosa"	885	304	1221	1519	1075	1506	162	287	553	491	1379	660	1288	241	2265	403	843	1990	642	249	635	576
"Pseudomonas stutzeri"	152	33	141	292	158	568	62	84	130	160	335	179	379	16	472	50	212	529	85	39	164	169
"Pseudomonas putida"	88	39	149	280	144	380	64	46	113	208	251	243	217	19	412	76	326	617	30	0	121	153
"Pseudomonas chlororaphis"	81	15	168	144	93	268	37	52	51	89	178	127	155	0	301	16	197	322	52	22	135	87
"Shewanella putrefaciens"	57	0	42	73	42	267	24	0	178	0	256	195	263	0	225	0	83	151	0	0	50	35
"Paraglaciecola sp. L1A13"	1609	77	123	183	482	77	185	116	24	0	1021	106	127	368	21	300	104	69	0	0	174	26
"Xanthomonas campestris"	162	30	43	88	222	206	57	60	76	56	256	163	222	59	45	70	169	193	36	0	142	66
"Stenotrophomonas maltophilia"	150	53	144	119	109	493	68	86	176	181	363	229	379	22	295	42	225	489	31	0	55	176
"Vibrio parahaemolyticus"	168	75	129	138	205	80	108	109	47	20	64	20	37	49	21	223	50	21	0	0	22	133
"Vibrio fluvialis"	60	0	64	52	37	57	21	33	65	31	193	60	120	11	44	10	23	19	0	36	62	31
"Vibrio metschnikovii"	2031	277	704	394	791	198	410	601	405	40	1646	1056	487	655	222	1490	42	112	12	0	184	54
"Vibrio cholerae"	59	32	80	170	70	201	22	24	34	50	280	97	94	30	116	129	33	56	0	0	22	19
"Halomonas sp. N3-2A"	523	66	20	47	451	45	25	0	0	43	171	35	128	59	0	65	632	331	60	0	115	83
"Alcanivorax sp. N3-2A"	528	14	45	56	364	128	17	37	31	45	268	75	227	58	151	56	797	355	44	0	98	102
"Aeromonas hydrophila"	89	45	140	135	106	119	48	61	64	215	306	159	313	25	163	70	96	187	156	0	42	56
"Aeromonas salmonicida"	38	0	58	64	31	81	0	13	0	43	51	22	31	0	122	0	263	838	60	53	53	206
"Aeromonas veronii"	64	33	160	128	77	80	50	59	31	129	135	89	134	39	198	62	134	248	28	0	166	75
"Aeromonas jandaei"	0	0	25	45	0	262	52	0	123	91	288	167	291	0	24	0	0	24	0	0	0	0
"Acinetobacter baumannii"	160	67	172	175	210	173	0	51	0	0	123	0	0	396	129	162	73	88	0	0	0	0
"Pasteurella multocida"	1289	43	157	187	740	249	60	71	43	54	784	204	810	73	60	153	3383	1191	221	0	305	116
"Legionella pneumophila"	31	16	42	33	49	155	52	31	118	16	421	153	308	28	19	22	18	40	0	0	13	34
"Rhizobium leguminosarum"	239	129	351	352	224	301	77	89	144	171	381	193	287	78	455	96	269	334	68	122	232	198
"Rhizobium rhizoryzae"	47	0	112	132	25	268	58	56	206	60	456	283	372	0	64	0	13	26	24	0	0	23
"Rhizobium pseudoryzae"	50	0	63	96	56	197	21	44	105	35	156	109	202	0	69	0	33	33	44	17	71	34
"Rhizobium etli"	43	20	43	51	83	130	21	66	21	34	75	28	62	0	284	15	105	165	20	0	111	99
"Agrobacterium tumefaciens"	229	47	487	413	202	463	80	120	276	139	430	390	599	50	237	0	207	271	78	0	91	176
"Agrobacterium vitis"	91	0	150	148	81	123	30	47	76	94	212	127	194	0	191	30	80	115	52	0	99	87
"Neorhizobium galegae"	84	17	112	144	68	192	42	47	82	68	164	120	206	0	123	35	87	66	62	22	76	74
"Ensifer adhaerens"	73	0	62	122	62	134	25	33	40	100	131	65	220	0	198	0	117	114	31	0	68	57
"Bradyrhizobium erythrophlei"	88	11	64	163	90	176	23	22	41	20	113	29	128	0	105	14	62	80	0	0	18	50
"Rhodopseudomonas palustris"	41	13	59	74	50	61	14	13	13	68	80	49	68	0	159	0	116	158	0	12	59	80
"Pannonibacter phragmitetus"	131	51	336	348	146	238	0	0	0	95	201	103	125	54	246	80	102	117	191	77	90	83
"Xanthobacter autotrophicus"	19	0	42	1296	0	18	0	0	0	19	26	17	20	0	37	0	18	34	0	0	0	23
"Aureimonas sp. OT7"	182	0	176	242	172	164	0	118	0	109	129	85	78	0	494	0	212	204	209	124	109	107
"Brucella anthropi"	72	0	97	101	45	184	96	0	208	111	312	362	328	0	137	0	64	103	0	0	0	66
"Bartonella krasnovii"	21	276	20	34	996	69	509	0	32	0	0	0	822	0	17	432	17	22	0	42	0	23
"Roseovarius sp. THAF9"	0	0	40	0	23	177	0	45	140	27	337	192	326	0	36	0	38	64	0	0	0	0
"Salipiger profundus"	76	0	82	124	66	156	0	27	29	59	106	35	115	0	153	0	53	112	59	25	43	39
"Azospirillum brasilense"	56	0	86	106	46	158	22	41	35	38	176	79	129	0	166	0	95	181	33	0	41	64
"Tistrella mobilis"	48	0	98	92	54	57	0	12	10	41	92	66	42	0	78	18	50	68	33	0	19	83
"Sphingobium yanoikuyae"	72	45	108	103	46	212	72	54	87	35	159	128	247	27	87	40	80	87	0	0	51	56
"Novosphingobium sp. THN1"	72	66	155	108	150	142	14	13	38	44	71	32	37	31	290	61	27	74	0	0	0	23
"Burkholderia stabilis"	25	79	153	221	106	133	18	36	51	88	153	104	195	217	35	154	219	591	326	194	487	82
"Burkholderia dolosa"	301	102	162	91	994	495	102	143	125	0	327	288	574	32	1395	0	0	691	0	0	185	253
"Burkholderia cenocepacia"	48	17	64	144	46	134	0	27	26	80	79	69	64	0	74	26	170	121	62	0	0	45
"Burkholderia gladioli"	50	0	100	108	56	109	0	21	24	88	104	45	80	0	103	10	46	56	115	0	16	43
"Paraburkholderia xenovorans"	21	0	44	87	32	226	36	31	109	0	294	197	295	0	42	0	34	37	0	0	0	0
"Cupriavidus sp. EM10"	0	0	34	69	17	339	43	37	126	73	476	143	424	0	17	0	27	56	0	0	0	0
"Cupriavidus metallidurans"	32	0	122	86	61	106	14	20	23	116	126	123	122	0	158	106	44	214	0	0	103	47
"Cupriavidus taiwanensis"	72	0	96	139	49	270	15	31	45	68	83	52	87	115	361	0	196	331	82	0	208	62
"Ralstonia solanacearum"	121	35	186	292	206	676	56	61	125	141	392	176	441	0	326	56	191	358	75	69	171	143
"Turicimonas muris"	25	0	3014	5661	2560	13684	0	0	0	0	48	0	13	0	18	0	17	0	0	0	17	16
"Sutterella wadsworthensis"	10	0	274	471	215	1173	0	0	0	20	46	13	24	0	29	0	27	43	0	0	0	18
"Sutterella megalosphaeroides"	18	0	278	480	223	1065	0	0	0	0	30	0	33	0	33	0	17	22	27	10	23	10
"Variovorax sp. WDL1"	49	0	0	93	0	65	0	0	34	0	136	67	209	0	215	0	94	255	0	0	0	69
"Variovorax paradoxus"	84	88	152	227	107	599	28	80	51	76	129	107	113	0	355	22	57	217	29	0	46	53
"Comamonas aquatica"	120	0	18	115	110	254	0	0	0	89	161	31	296	0	55	0	72	148	0	0	41	19
"Delftia tsuruhatensis"	131	0	187	168	89	247	0	0	64	93	251	131	263	0	151	0	92	258	0	0	0	56
"Ramlibacter tataouinensis"	66	27	80	104	85	184	30	19	68	36	131	55	160	0	207	17	59	83	0	0	0	14
"Alicycliphilus denitrificans"	48	0	25	69	29	224	0	47	0	169	49	0	90	0	261	0	113	249	0	0	156	37
"Massilia sp. HC52"	65	0	57	127	45	229	28	25	68	47	211	72	131	0	65	0	68	79	56	24	47	42
"Massilia lutea"	31	0	49	63	22	247	41	45	170	42	327	161	286	0	25	0	24	11	49	0	0	12
"Janthinobacterium sp. B9-8"	19	0	73	84	36	361	33	17	131	25	269	128	226	0	32	12	0	22	0	0	0	0
"Herbaspirillum frisingense"	25	0	103	82	40	213	40	34	85	16	187	149	145	0	113	0	63	148	0	0	14	29
"Oxalobacter formigenes"	46	14	186	170	83	343	28	27	105	31	194	114	217	0	37	20	0	18	41	46	55	13
"Bordetella trematum"	18	0	29	68	21	228	22	25	136	44	277	290	295	0	26	0	40	68	0	0	0	43
"Achromobacter xylosoxidans"	86	30	151	256	107	555	29	56	54	315	393	242	455	25	313	21	289	743	0	0	96	107
"Ideonella dechloratans"	17	0	48	92	0	322	18	17	59	37	152	67	153	18	51	0	32	68	0	0	0	27
"Denitratisoma sp. DHT3"	68	0	163	144	55	258	0	38	51	57	146	40	78	0	88	0	28	105	153	88	160	39
"Desulfovibrio desulfuricans"	126	33	168	193	94	242	24	41	102	97	240	169	191	16	174	74	157	187	55	58	141	100
"Desulfovibrio sp. IOR2"	48	0	169	210	59	418	0	15	22	61	87	44	72	0	52	0	43	115	51	34	31	33
"Desulfovibrio fairfieldensis"	128	0	117	132	66	161	19	45	24	61	81	30	95	11	141	11	92	187	20	0	23	60
"Oleidesulfovibrio alaskensis"	119	35	156	200	104	164	20	40	42	62	196	89	114	0	339	37	123	288	112	44	111	84
"Sorangium cellulosum"	98	32	116	182	120	305	29	59	102	114	214	135	204	20	563	19	197	397	29	17	59	104
"Desulfosarcina ovata"	89	17	147	193	89	233	0	20	16	32	68	46	50	0	85	12	81	94	70	57	85	41
"Desulfosarcina alkanivorans"	74	15	174	205	54	221	16	21	32	50	82	37	94	0	187	0	122	300	78	27	34	49
"Campylobacter jejuni"	2007	377	288	79	131	105	45	56	49	29	1194	137	120	125	923	691	3352	2035	33	0	85	1260
"Campylobacter coli"	132	31	83	70	20	16	0	28	23	37	113	51	110	27	105	22	175	141	142	0	168	42
"Campylobacter concisus"	47	13	71	86	59	115	22	24	84	11	180	71	120	18	68	13	24	17	26	0	26	57
"Bdellovibrio bacteriovorus"	55	0	166	106	65	76	10	12	33	13	68	58	33	0	62	10	67	49	13	0	27	35
"Alistipes finegoldii"	765293	737021	1803393	1703350	2046250	830988	167792	172120	550417	554768	510720	250607	524965	263932	3626584	561020	4846	1729	848	271	1366	1964
"Alistipes dispar"	12539	11817	31316	24256	33020	12041	2926	3048	9568	7761	7933	4062	7973	4788	30070	8828	142	75	13	0	12	42
"Alistipes senegalensis"	11245	10197	27796	20795	29055	10227	2452	2510	8043	6239	6666	3510	6709	4127	40193	8043	100	62	15	0	26	44
"Alistipes onderdonkii"	11195	9504	26521	19382	29393	8198	2457	2442	7367	5268	7893	4616	7790	3977	21907	7040	330	84	12	44	26	28
"Alistipes communis"	4541	4007	10584	8388	11658	3674	1062	965	3052	3748	4676	3042	4477	1521	9434	2930	91	104	0	0	13	38
"Alistipes megaguti"	3950	3656	9785	6839	10169	2522	920	1048	2768	1387	2595	1516	2524	1512	2926	2502	51	52	12	0	47	27
"Alistipes shahii"	3685	3092	8653	6181	8845	2488	830	803	2355	2171	2937	1876	2981	1340	5441	2277	55	54	97	29	46	14
"Alistipes indistinctus"	140	39	239	240	201	87	18	23	35	104	178	155	198	28	162	36	43	47	0	0	10	31
"Bacteroides salyersiae"	5124	2025	4408	3232	3311	2261	786	838	3846	2561	7700	6331	3460	1080	2023	2344	1837	1966	317	146	119	862
"Bacteroides thetaiotaomicron"	5601	5760	16766	10123	16616	4003	1302	1387	4384	2398	5958	2898	3925	2616	5130	4309	272	161	60	75	138	49
"Bacteroides sp. KGMB10229"	7492	2253	5215	5923	4484	3292	771	1294	5339	1295	4894	3369	1730	1760	2700	3086	721	594	202	0	0	350
"Bacteroides sp. CBA7301"	55	15	89	56	77	31	0	11	10	12	78	31	35	0	47	22	32	14	59	18	31	22
"Bacteroides sp. M10"	81	53	181	73	52	51	0	28	0	42	67	26	31	0	0	29	49	0	56	37	89	22
"Bacteroides xylanisolvens"	3804	4544	12683	7055	12646	2482	1060	921	2652	1508	2700	1587	2251	1890	3593	3399	903	204	21	165	82	147
"Bacteroides fragilis"	2534	2745	7658	4580	7135	1545	675	685	1671	1786	4726	2689	2784	1176	2369	2082	1101	185	105	206	269	381
"Bacteroides uniformis"	4657	4884	9860	6227	11981	2317	1089	747	2387	2348	3470	2318	2615	1343	2832	3196	5693	499	52	267	135	714
"Bacteroides eggerthii"	1575	1073	4212	1552	2757	394	264	242	796	278	1318	718	837	620	1409	752	28	45	0	0	25	12
"Bacteroides ovatus"	1983	2745	7084	4045	7304	1378	1311	734	1327	1196	3515	1837	1879	867	3133	2103	2567	195	56	271	128	237
"Bacteroides stercoris"	171	147	404	283	356	124	52	45	152	90	188	116	162	31	165	100	43	27	41	37	46	35
"Bacteroides nordii"	105	48	205	134	183	74	12	34	68	31	69	48	80	23	109	61	16	13	13	0	23	18
