"BulkRAG1"	"BulkRAG2"	"BulkRAG3"	"BulkTP1"	"BulkTP2"	"BulkTP3"	"RAG1"	"RAG10"	"RAG12"	"RAG2"	"RAG3"	"RAG4"	"RAG5"	"RAG6"	"RAG7"	"RAG8"	"RTP1"	"RTP10"	"RTP11"	"RTP12"	"RTP2"	"RTP3"	"RTP4"	"RTP5"	"RTP6"	"RTP7"	"RTP9"
"Candidatus_Solibacter"	3.58002481198205	3.4540324046676	3.52176262875204	3.4467772969614	3.38086751310728	3.334882833029	3.55864762876157	3.5632202722286	3.5726759767765	3.49172927485838	3.58505129854424	3.52352117835558	3.53339672675681	3.01725016008442	3.62212209561698	3.29973194710971	3.25233747197753	3.34012604459502	3.3009447740452	3.34780188995621	3.2934066974299	3.14429779618916	3.31635247185316	3.29372747458306	3.34525534817039	3.38725605027795	3.34053240654508
"Candidatus_Udaeobacter"	3.32434154984747	3.24597252406889	3.38032631700735	4.10013168156897	4.10422769871458	4.15221173207519	3.42205976505716	3.430744867188	3.49646103750701	3.41639336306325	3.41356371510715	3.45843122410967	3.50544513292442	2.79523735400353	3.52297554264267	3.15931814580138	4.1304317871551	4.09893006368369	4.07617832629216	4.09231343754825	4.06592007665854	4.12511188676035	4.12122180741524	4.10261300530971	4.1290905674209	4.16064912154758	4.09005900672107
"Candidatus_Xiphinematobacter"	0	0	0	2.76785318909369	2.76668660555563	2.99207642404897	0	0	0	0	0	0	0	0	0	0	0	2.8963582499484	2.84054142534325	0	2.88103822843916	2.82447224270823	0	2.85210588396121	2.79979344813191	2.87514407472752	2.79748769443737
"Cellvibrio"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.22897821051532	0	0	0	0	2.13820456022675	0	0	0	0
"Chitinophaga"	0	0	0	0	0	0	0	0	0	0	0	0	0	2.94463062886706	0	2.90612681763468	0	0	0	0	0	0	0	0	2.40507704487701	0	0
"Chryseobacterium"	0	0	0	0	0	0	0	0	0	3.83048059525445	0	3.2461811429625	0	2.69181603461004	0	2.5373481240285	0	0	0	0	0	0	0	0	1.81271949432839	0	0
"Chthoniobacter"	0	0	0	0	0	0	0	0	2.54940181017142	1.9582682253498	0	0	2.38316468808952	2.2754461993726	0	0	0	0	0	0	0	0	0	0	0	0	0
"Chujaibacter"	0	0	0	0	0	0	0	0	0	2.25512747141439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Chungangia"	0	0	0	0	0	0	0	0	0	1.5515692250458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ciceribacter"	0	0	0	0	0	0	0	2.4987734309966	0	2.85403290305595	0	0	0	2.54883683130295	0	0	0	0	0	0	0	0	0	0	0	0	0
