"SRR5865065"	"SRR5865066"	"SRR5865067"	"SRR5865068"	"SRR5865069"	"SRR5865070"	"SRR5865071"	"SRR5865072"	"SRR5865073"	"SRR5865074"	"SRR5865075"	"SRR5865076"	"SRR5865077"	"SRR5865078"	"SRR5865079"	"SRR5865080"	"SRR5865081"	"SRR5865082"	"SRR5865083"	"SRR5865084"	"SRR5865085"	"SRR5865086"	"SRR5865087"	"SRR5865088"	"SRR5865089"	"SRR5865090"	"SRR5865091"	"SRR5865092"	"SRR5865093"	"SRR5865094"	"SRR5865095"	"SRR5865096"	"SRR5865097"	"SRR5865098"	"SRR5865099"	"SRR5865100"	"SRR5865101"	"SRR5865102"	"SRR5865103"	"SRR5865104"	"SRR5865105"	"SRR5865106"	"SRR5865107"	"SRR5865108"	"SRR5865109"	"SRR5865110"	"SRR5865111"	"SRR5865112"	"SRR5865113"	"SRR5865114"	"SRR5865115"	"SRR5865116"	"SRR5865117"	"SRR5865118"	"SRR5865119"	"SRR5865120"	"SRR5865121"	"SRR5865122"	"SRR5865123"	"SRR5865124"	"SRR5865125"	"SRR5865126"	"SRR5865127"	"SRR5865128"	"SRR5865129"	"SRR5865130"	"SRR5865131"	"SRR5865132"	"SRR5865133"	"SRR5865134"	"SRR5865135"
"Anaerostipes"	2.02149268822182	2.11033394244985	3.34597164235875	1.56713841358837	4.03593494255837	2.71660153485245	4.19285971738779	2.38212909686764	2.72808096079149	2.04300884921936	2.17883497426111	3.07364962596639	1.84429121651689	1.81030546677947	2.84285577273572	2.43385789082656	3.30312117848196	1.53412185994677	1.76268498265084	2.54344287093073	2.48645408302788	1.92267080018792	1.66105040380126	1.73913028629047	3.27183151996938	1.6958503516867	3.49818245383341	2.18240725462624	2.63357487912549	1.95374057373353	2.85925502706887	1.42877149659836	1.62685822305277	2.45021185720709	2.56729031481983	2.5191918273596	2.2258361800246	2.33819515964962	1.67781911603829	3.12212521375755	1.7998369175879	2.03630416850653	2.52969746625319	2.26010770177395	2.51011735183071	1.77763226615379	2.68602602603085	1.36440816560737	1.47217736144571	3.43846672968357	2.9578285149826	2.75770651760047	3.0593789131429	1.81515987571055	3.49206624804457	3.56813739440183	2.28635644025617	2.40074094699652	2.33675312071567	2.54616077106811	2.46593011146479	2.59733580121708	2.7023797487128	3.43720715207327	3.10978977025241	2.86201231608619	2.77454793500968	3.52830909647182	1.89031267847857	1.8246008190458	3.33659390423478
"Anaerotruncus"	1.75764799335631	2.05468238757185	1.0111113015197	1.86956788682339	1.69583841350343	0	1.57326684995131	1.99431595713121	0	1.32805115083563	2.73925942277911	0	1.38679552175579	0	2.18906334998588	2.00896833096468	0	0.999726703778185	1.3058512101949	0	1.51039348784041	1.86900450148072	2.29560293297317	0	1.45028420214191	1.09762177528083	0	2.00774040441597	0	0	0	2.20634269011326	1.32396358383162	0	1.70671402100837	2.31506577981497	0.850042059533548	0	2.48061739279159	2.13907160396482	0	0	0.938959775676541	0	0	1.02431551476733	1.26421840914691	0	0	1.37606437613738	1.27572802516493	1.48113883991404	0	1.91709411672613	0	1.36486679733587	0	0	0	0	1.82732518150924	1.80492776677405	0	1.29935737874813	0	0	1.7246527519533	0	1.34830821251829	1.31663903795921	0
"Anaerovorax"	0	0	0	0	0	0	0	0	0	0	0.979616311453158	0	0	0	0	0	0	0	0.51940680609562	0	1.70945582412669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.78884744807755	0	0	0	0	1.23452985432575	0	1.58244590295338	0	0	0	0	0	0	0	0	0	0
"Angelakisella"	1.20702613441998	1.73222199682768	0	1.94898194131699	0	1.37485957925472	0	2.58525804285381	0	1.95187908253227	1.46940432619524	0	1.31549098518962	0	0	0	2.3773509200423	0	1.39509642677766	0	2.3869254940554	2.32254119399818	1.58592438505782	0	1.80212506800811	0	0	0	0	0	0	2.36301528568628	1.86372698274134	1.43801247767067	0	1.55346304385421	1.57380955825145	0	0	0	0	0	0	0	0	0	0	1.41161085607008	1.90083141023395	2.23374317978489	1.37435848539385	0	0	0	0	0	1.80976330503217	0	2.26676224238187	0	2.08269611520689	0	0	0	1.64857696589391	0	0	0	1.61023759602294	1.71118239454536	0
"Arcobacter"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.04533512491603	0	0	0	0	0	0	0	0	0	0	0	0
"Asaccharospora"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.879514420679943	0
"ASF356"	0	0.554407291428444	0	0	0.922715701842074	0	1.25876742389976	0	0	0	0	0	0	0	0	0	0	0	0	0	0.97175439569197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.873178135782234	0	0	0	0	0	0	0	0	0	0	0	0	0
"Asteroleplasma"	0	0	0	1.45089092573907	0	0	0	0	0	1.94587326502363	0	0	1.03497247988553	0	0	0	1.34264016087018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.69226093544011	0
"Atopobium"	0.932154664641257	0	0.78844917097418	0	0	0	1.99819942623617	0.901924081039664	0	1.00944890843048	0	0	0	1.13017252688289	1.46317657228906	1.07560117960536	0	2.00862687344374	1.23420182846854	0.443031184178806	0	1.43042650248653	0.937590805216634	0	0	0	0.792631406875693	1.96891686903421	0.861498378190451	0	0	0.587827151275827	1.21374999828126	1.15254103956195	0.896674878177377	0	0	0	1.11149372798673	1.78107310883044	0	0.883104304894212	0.972562962335012	0	0	0.733969292558864	0	1.06551794987019	1.14436923102563	0	1.22547445318432	1.76799504233886	0	0.684936974444887	1.223665769822	0	0	0	0	0	1.04325138270685	0.840483278138186	0	0	0.808904714308716	0	0	1.47757981388948	0	0	0
"Bacillus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.75677644052602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
