"Sample1"	"Sample10"	"Sample11"	"Sample12"	"Sample13"	"Sample14"	"Sample15"	"Sample16"	"Sample17"	"Sample18"	"Sample19"	"Sample2"	"Sample20"	"Sample21"	"Sample22"	"Sample23"	"Sample24"	"Sample25"	"Sample26"	"Sample27"	"Sample28"	"Sample29"	"Sample3"	"Sample30"	"Sample31"	"Sample32"	"Sample33"	"Sample34"	"Sample35"	"Sample36"	"Sample37"	"Sample38"	"Sample39"	"Sample4"	"Sample40"	"Sample41"	"Sample42"	"Sample43"	"Sample44"	"Sample45"	"Sample46"	"Sample47"	"Sample48"	"Sample49"	"Sample5"	"Sample50"	"Sample51"	"Sample52"	"Sample53"	"Sample54"	"Sample55"	"Sample56"	"Sample57"	"Sample58"	"Sample59"	"Sample6"	"Sample60"	"Sample61"	"Sample7"	"Sample8"	"Sample9"
"Bilophila"	2.02582151436968	1.06596329457138	1.26299607177537	0	1.53812259460905	0.910258017524276	1.77742550022872	0	0	0	0	1.35981858811197	0.270957871996563	0	0	0	0.270946298850229	0	2.09947265545837	1.24848984764118	0	0	1.8498417457272	0	0.726808134504851	1.70421894588708	0	0.963436030060082	1.57272823471285	1.71993413197309	0	0	0	0	0	1.66305973097718	0	0	0	0	0	0	0	0	0	1.08848820372263	1.38717681119114	0.487367667607173	0.436251587616452	1.91138456435498	0.658489520773912	1.79592981844595	1.21984077347128	2.2143597703826	0	0	1.80182155982041	0.792194946498813	0	0	1.23567168422544
"Blautia"	2.77991497213784	3.5193206976799	3.20784144859755	3.51498323507696	3.18053175354615	3.23913723813533	2.79442724144778	2.6951556852646	3.15222492851648	3.3342759463136	2.86763833970971	3.50736472146346	3.37650058486475	3.027189410762	2.61897360632536	3.4723880725786	3.19674537016618	3.20408334232822	2.54633360662061	3.06873288889664	2.85012568508118	3.24772218884999	3.0419404969686	3.90403609035689	3.07628468984527	3.22705979142209	3.75313072510469	2.78725528483234	3.12300727311009	3.07568892091761	3.82699545738613	3.47650409931212	2.64369641700636	2.30813315163032	3.45071972544668	3.27480822554024	3.72148488915027	2.99813186187516	2.04516597407	3.02719994373931	3.47366702056532	3.47312201828552	3.48125754625591	3.59605829627818	2.84908700032805	3.2312102199911	3.03805374528794	3.2746270315009	3.10333654236856	2.57518718133056	3.7392861569419	2.80286278589397	3.64506581713687	2.48304115253864	3.65739535664953	2.29769622119996	3.65276039566321	3.54871966431173	2.97508063658571	3.13526611923169	3.19571956131763
"Butyricicoccus"	2.15077132679619	1.67716156760615	0.944252648400283	1.30548770824009	0	1.78980381802688	1.57263115402049	2.36277609624925	2.5000816977748	2.30811620790466	1.56247326019965	2.24832892017525	1.02235351598336	2.71405779759349	2.28814010189832	1.75872132896399	2.45893275796201	1.93389283496097	1.62920486908066	0	0.863588343443328	1.40555258800317	2.08261790641516	2.58289882011683	1.17199479904589	2.06836111571068	1.75148824506197	0.810346818773497	0.985144677310459	1.50854769625817	0.903151879866838	0	2.04891143680055	1.24458413885611	1.6588518455587	2.1683618141895	1.30190050604274	1.60538993579556	0	2.10680291471104	0.89911997305736	1.56240050788325	1.3381613032608	2.29578446810814	0.799172653286427	2.47054372034095	2.39118441354285	2.22201297486348	2.31583717915414	2.83249792330272	0.909022134177064	1.30229972811699	2.69735223670805	1.89732162171879	1.78154511424275	0.944230550318698	2.30893352523833	2.3692296619797	2.71513142193285	2.28627270967793	2.32934578015141
"Catabacter"	0	0.563489286094515	1.7021761644283	0	0	0	1.77742550022872	0.726828392904791	0.985055251413536	0	0	0	0.649801486036979	0	0.556115083200851	0	0	0	0	0	1.25071033531358	1.88453511953679	0	0	0.944274747894852	0.907779566769565	0	1.07640014380654	0	0	0	0	0	1.10823659602629	0	0.270911585533297	0	0	0	0	0	0	0	0.436504329425871	1.09614697660104	0	0	0	0.984653115140247	0	0	0	0	0	0	1.70955617534811	0	0	0.944252648400283	1.28312613586904	1.37121346954982
"Clostridium.IV"	1.00421112476263	1.19396953973668	2.99797100608147	2.47523276169743	0	1.67546104360334	2.55581479007339	0.649820836984265	1.55202239589993	1.54493464982322	1.67921042396474	2.82630228316439	1.40232264941104	3.23517421848174	2.0350391644526	2.29091550846279	2.9297723971453	2.51981916015542	1.83611751998931	3.13206951952465	2.5541897763176	2.17265073425647	2.08699075517076	1.38362767554445	2.9576282556103	2.7825013637318	2.24750202145785	1.95960444943697	2.54639577521128	2.8866792554403	0	0.70957234220235	1.91249020922607	3.03386820112018	2.89692492133413	2.09934898232982	2.10389781403819	3.09237475073018	0	0.958980720509156	1.51901786736541	2.64011893611463	0.649743441353474	1.49571915657394	2.8419729345266	2.3089459306809	0.270963658952437	1.63817201856353	2.75746019419553	3.2186112402337	1.44189283414571	1.19664777127008	2.34776193857148	1.60175834145234	0.547856978056528	2.53979545357098	1.6548724646818	1.54135139834965	3.00620677522587	2.25185985368032	2.49859999820521
"Clostridium.XVIII"	0.605572091486107	1.3211947723409	1.81354776753334	1.74987720229451	1.35914376511745	0	1.70218838393428	0.270969446163473	2.42778061369853	0.9270002226704	0	1.59201464201323	1.7310898694445	2.55559582338051	1.91143381733181	1.93228208789333	1.11813521039262	1.66312070494657	0.985088783468878	1.41633421809499	1.91332253547534	2.03374365609528	0.770561537837724	2.06799175310894	1.08851110434199	1.3644837668956	1.7095317304721	1.52853366460754	0.556196117518413	1.08026140127748	2.52994982908474	2.24613296618084	0.908428267753719	1.89152022311111	2.0289648085475	1.05659987039233	1.69862530626901	0.631002807656095	2.77826087137718	2.43000714602967	1.28293707292059	1.48353776835862	1.6464279800938	2.15015458837798	2.00333473225738	1.83054675877039	1.70221282401952	1.57116559369741	1.19616934889431	1.58251933393651	1.78841729883406	0.556169103106209	2.31986319185595	0.984999371735534	1.53018296943207	2.15016696609374	1.51912665598186	0	0.899228901049471	0.556169103106209	0.863454108302585
"Clostridium.XlVa"	1.89671148177559	0.80072657654743	1.69464327280827	1.02543577394482	0	0	0.985055251413536	1.95113021185826	2.58513910670713	0	0.556142091667203	0	0.270957871996563	2.31346308406969	3.05854619061387	0	1.11813521039262	1.33819698447472	1.17201805675609	0	1.36296519758211	1.72734506830392	1.64187532671062	0	1.08851110434199	1.82891273195974	0	1.30354057871841	1.02243250804755	0.967192729879571	0	0.966007065065574	1.15565527881739	1.18173935535184	0.673544150904964	0	0	0.631002807656095	1.59213605838299	2.0684893144608	0	0	0.726747367592038	0.944219501807723	1.46618050016025	0	1.53041095001488	0	0.791808322561009	1.4957070891031	0.909022134177064	1.78986875432832	1.17194828790082	2.63664703286558	0.547856978056528	1.95524610186535	0.985032898480303	0.270957871996563	1.96353112629209	0.79223677224752	1.37121346954982
"Clostridium.XlVb"	3.20607071576179	0.563489286094515	1.08848820372263	0	0.730193485781775	0	2.91994616038955	2.85522902667026	2.41204640991374	0.495456827034396	0.726818263532151	1.66934002460452	0	1.20757762676389	1.08848820372263	0	1.05666809991236	1.21985248833051	0	0	1.94552643686493	1.01331207449003	2.07373786138034	0	1.56246113391954	2.41884417927195	0.270923155618735	0.810346818773497	0.556196117518413	1.28742409293133	0	0	0.858030058657034	0.758315080949291	1.72443557266137	1.19650768323265	0	1.71865626808591	0	0.568151984739098	0	1.62019326959937	1.70212728998147	0	2.27048032456464	1.40229870242366	2.63061291697545	0	0	0	0	1.11820431912518	1.28303159297533	2.59665482994163	0.680879462284241	2.55262779109427	1.17195991515272	0.792194946498813	2.56203405290254	2.05212602217399	1.10394382585443
"Clostridium.sensu.stricto"	0	2.91185574599365	1.92056234635817	0	2.56621083345964	1.88022990078262	0.556124085692707	1.30227603413398	2.27636921875917	1.30458367363936	2.38965334307148	0	2.59768047504615	0	0	2.53423539736784	0	1.33819698447472	2.02809238499398	0	1.98505670184083	1.47853348912949	1.54743483994207	0	0	2.15453676765603	1.8778333610401	0	0.792268145220073	1.95055500405468	1.77549793982295	3.07276503932925	1.51779263917704	1.10823659602629	1.33114839799026	0	0	0	0	0	0	1.93822622542301	2.19798301224647	0.649753114617681	2.18178815541802	0.649782136449526	0.792205402413048	1.92357998062884	0	1.89253092650995	0	0	0	0	0	0	0	0	0	0	0
"Collinsella"	3.05350244661382	3.76382248333182	3.34653676605807	3.74685543541943	2.83358396464901	3.82112796062091	2.96460972446354	0.649820836984265	0.270952085295832	3.56402420661904	2.89864954382124	3.51815740914165	3.44400812678777	0	2.56613938728063	3.78054092988973	3.1809170438536	3.57237512589721	3.30744334823235	3.8350507727214	3.59529089393169	2.40409469239576	2.84655970931966	2.97608384383468	0.792194946498813	1.12716939771293	3.22649684584805	3.53644990719019	0.556196117518413	0.453060412290782	0.903151879866838	0.485974413398763	3.22893842036925	2.69401103304951	3.85022229661922	3.22198341768473	3.94726081207762	3.41033687252914	0.270871098266013	1.1037409257425	3.6362776286229	3.39105004326187	3.52279522527214	3.50928200764643	3.41502988962938	3.43839892786303	2.9306932271248	3.51344826024787	3.32599548473522	3.3759512918161	3.58877777554632	3.21850841628645	0.436512232717047	0.436496426444572	3.5541130122602	3.02148378758944	3.43879751481908	3.73531112880171	3.13519136660248	3.54887584669668	3.71932583378914
