"BulkRAG1"	"BulkRAG2"	"BulkRAG3"	"BulkTP1"	"BulkTP2"	"BulkTP3"	"RAG1"	"RAG10"	"RAG12"	"RAG2"	"RAG3"	"RAG4"	"RAG5"	"RAG6"	"RAG7"	"RAG8"	"RTP1"	"RTP10"	"RTP11"	"RTP12"	"RTP2"	"RTP3"	"RTP4"	"RTP5"	"RTP6"	"RTP7"	"RTP9"
"Fonticella"	0	0	0	0	0	3	0	0	0	0	4	0	0	0	0	0	0	1	1	3	0	2	2	0	3	1	5
"Frateuria"	0	3	0	0	0	0	7	6	3	0	11	5	0	0	0	0	0	3	2	2	2	4	2	1	0	0	3
"Fulvimonas"	0	3	0	0	0	0	3	0	4	0	0	0	0	1	1	0	0	1	0	0	0	0	0	3	2	0	0
"Gaiella"	3433	5062	3325	15784	15519	15911	7015	7448	5039	6240	6698	7504	6312	939	8151	2816	18330	17146	18294	12990	18407	17444	14087	16545	16351	16114	16871
"Geminicoccus"	4	14	4	47	64	63	13	16	28	11	10	5	5	0	6	3	103	68	84	51	93	93	79	85	70	74	72
"Gemmata"	83	134	71	178	184	150	252	216	152	229	266	232	228	47	222	75	183	204	166	112	195	137	172	176	181	191	181
"Gemmatimonas"	631	1101	580	444	343	325	1899	1551	1048	1402	1428	1464	1259	268	1438	587	426	492	438	321	443	515	385	464	541	558	493
"Geobacter"	34	12	6	27	33	18	6	8	8	11	7	8	9	1	12	0	8	28	21	18	25	15	12	8	9	16	34
"Geodermatophilus"	48	126	37	2	0	3	85	77	40	53	72	54	52	5	67	24	0	3	0	0	2	0	0	1	2	1	0
"Georgenia"	2	8	0	0	0	0	6	10	3	3	6	3	4	0	6	3	0	0	0	0	2	0	0	0	0	0	0
"Geothermomicrobium"	0	0	0	16	22	11	2	0	0	0	0	0	0	0	0	0	12	13	12	13	10	14	10	17	13	16	13
"Gimesia"	2	2	0	17	24	12	0	5	3	5	3	3	6	0	2	0	18	18	14	11	22	28	19	15	15	12	18
"Gp1"	2180	3611	1946	546	467	386	4237	3656	3559	4085	4108	3796	3570	655	5010	1371	385	415	364	300	383	382	319	378	434	422	488
"Gp10"	33	39	43	15	11	7	140	98	65	47	81	98	69	13	44	31	10	10	4	4	10	5	2	8	9	6	10
"Gp11"	0	0	0	83	63	38	0	0	0	0	0	0	0	0	5	0	28	40	32	22	32	18	18	26	22	31	34
"Gp13"	20	35	18	9	7	11	36	37	42	36	37	36	32	4	50	14	1	10	3	9	9	10	4	6	10	6	9
"Gp15"	0	12	4	4	7	5	9	7	5	9	4	8	3	1	8	0	3	3	6	2	5	1	5	3	1	1	3
"Gp16"	149	213	128	1256	1229	1345	385	390	241	341	388	355	330	62	379	157	2037	1839	1798	1296	1816	1843	1618	1703	1703	1595	1871
"Gp17"	4	6	3	62	54	39	17	15	16	16	15	8	10	3	20	2	44	51	46	34	65	40	36	40	33	36	53
"Gp18"	2	2	0	27	35	34	0	2	2	3	3	3	0	0	4	0	26	21	26	13	17	16	27	23	11	21	18
"Gp2"	194	260	149	147	162	114	295	237	204	212	271	271	248	46	433	96	110	112	94	78	116	140	104	98	155	121	105
"Gp21"	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	8	3	1	2	7	0	1	4	3
"Gp22"	0	0	0	21	26	19	0	0	0	0	0	0	0	0	0	0	14	14	22	10	11	17	17	24	13	14	16
"Gp25"	5	8	4	411	496	378	7	6	10	11	18	21	11	2	26	7	513	464	516	368	483	437	400	510	414	474	504
"Gp3"	1242	2101	1378	299	304	214	2730	2428	2057	2333	2504	2257	2159	429	2428	761	248	267	281	220	270	301	246	278	361	364	354
"Gp4"	218	328	225	1155	1281	902	812	625	494	560	544	653	493	87	556	170	1201	1264	1337	968	1176	1264	1015	1193	1206	1255	1376
"Gp5"	83	190	97	1095	1256	805	162	127	146	160	165	173	141	15	185	45	748	932	812	601	836	801	691	788	816	776	853
"Gp6"	412	700	381	2450	2783	2165	1239	1401	795	1201	1038	1259	1075	149	1160	425	2315	2847	2845	1908	2554	2432	2097	2361	2421	2695	2828
"Gp7"	145	198	127	233	223	225	411	428	288	364	363	350	325	57	340	139	260	301	324	184	290	274	223	288	261	248	275
"Gp9"	0	0	0	2	7	4	0	0	0	0	0	0	0	0	0	0	2	1	1	0	3	2	3	0	0	2	0
"GpI"	34	40	28	2	0	0	27	25	37	36	37	29	22	4	37	14	0	1	2	0	0	0	0	0	0	0	0
"GpIX"	7	0	3	0	0	0	13	12	8	4	5	12	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0
"GpV"	17	22	19	0	0	0	26	18	27	13	23	30	7	5	21	10	0	0	0	0	0	0	0	0	0	0	0
"GpXIII"	24	31	21	0	0	0	85	46	59	55	59	78	11	2	35	3	0	0	0	0	0	0	0	0	0	0	0
"Gracilibacter"	0	0	4	8	5	2	0	0	0	0	0	0	0	0	1	0	10	8	19	7	3	13	16	16	8	8	16
"Granulicella"	7	18	9	0	0	0	12	15	15	13	20	12	24	1	10	5	0	0	0	0	0	0	0	0	0	0	0
"Hamadaea"	3	2	5	10	23	9	0	8	2	4	6	4	0	2	3	0	13	12	12	11	16	16	11	15	15	14	18
"Hephaestia"	0	0	0	0	0	0	0	3	2	0	3	0	4	0	1	0	0	0	0	0	1	0	0	1	0	0	2
"Herbidospora"	0	6	3	0	0	0	3	0	3	2	5	0	4	0	2	1	0	2	0	0	0	0	0	0	0	0	1
"Herpetosiphon"	0	2	0	0	0	0	12	14	4	3	8	5	0	10	4	13	0	0	0	0	0	0	0	0	0	0	0
"Humibacter"	18	5	4	0	0	0	0	5	2	0	4	3	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0
"Hydrogenispora"	0	3	0	32	34	17	0	2	0	0	4	0	0	0	1	0	46	35	33	25	32	29	29	27	17	34	54
"Hyphomicrobium"	52	74	42	37	38	28	154	237	101	154	277	194	97	46	129	42	31	46	33	31	37	32	21	47	20	33	38
"Iamia"	4	0	2	2	0	0	3	0	2	3	2	4	0	0	2	0	4	0	1	2	0	3	2	1	2	2	1
"Ilumatobacter"	38	40	35	172	128	190	63	56	45	54	51	54	50	10	56	29	210	187	194	149	188	162	162	154	157	148	168
"Inquilinus"	0	0	0	2	3	2	7	3	3	0	20	11	6	2	4	0	0	1	3	0	3	1	2	4	3	3	0
"Intrasporangium"	63	73	42	15	25	36	55	40	22	23	51	44	39	14	47	20	55	47	54	40	54	32	23	39	21	35	48
"Jahnella"	0	0	0	0	2	0	5	4	3	5	6	3	0	10	0	4	2	3	0	2	2	0	0	2	2	0	0
"Janibacter"	2	14	0	9	7	5	3	2	2	4	2	0	2	0	3	0	8	3	10	0	5	14	8	8	7	9	12
"Jatrophihabitans"	366	586	407	35	55	43	546	500	359	391	496	500	377	80	531	192	31	37	31	30	40	36	32	26	37	43	37
"Jeotgalibacillus"	0	0	0	0	3	0	0	2	2	2	2	2	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0
