"SRR5865065"	"SRR5865066"	"SRR5865067"	"SRR5865068"	"SRR5865069"	"SRR5865070"	"SRR5865071"	"SRR5865072"	"SRR5865073"	"SRR5865074"	"SRR5865075"	"SRR5865076"	"SRR5865077"	"SRR5865078"	"SRR5865079"	"SRR5865080"	"SRR5865081"	"SRR5865082"	"SRR5865083"	"SRR5865084"	"SRR5865085"	"SRR5865086"	"SRR5865087"	"SRR5865088"	"SRR5865089"	"SRR5865090"	"SRR5865091"	"SRR5865092"	"SRR5865093"	"SRR5865094"	"SRR5865095"	"SRR5865096"	"SRR5865097"	"SRR5865098"	"SRR5865099"	"SRR5865100"	"SRR5865101"	"SRR5865102"	"SRR5865103"	"SRR5865104"	"SRR5865105"	"SRR5865106"	"SRR5865107"	"SRR5865108"	"SRR5865109"	"SRR5865110"	"SRR5865111"	"SRR5865112"	"SRR5865113"	"SRR5865114"	"SRR5865115"	"SRR5865116"	"SRR5865117"	"SRR5865118"	"SRR5865119"	"SRR5865120"	"SRR5865121"	"SRR5865122"	"SRR5865123"	"SRR5865124"	"SRR5865125"	"SRR5865126"	"SRR5865127"	"SRR5865128"	"SRR5865129"	"SRR5865130"	"SRR5865131"	"SRR5865132"	"SRR5865133"	"SRR5865134"	"SRR5865135"
"Barnesiella"	3553	1612	3	54	8	6	2	154	1579	205	548	3850	500	4	7	1	176	66	770	5	104	0	384	19	80	33	0	3	2	2975	5	295	123	2366	365	150	9	504	4	4	20	39	57	4	33	5	620	1577	254	516	124	59	513	336	2	764	0	10	21	3255	2	215	41	56	14	6	80	132	1107	30	3493
"Bifidobacterium"	12	3	145	84	3916	618	14052	3492	80	91	52	477	1974	20	140	600	7635	79	5	1123	0	0	2444	257	247	2	4	280	38	51	0	140	641	466	858	104	22	66	79	2578	91	1532	1481	2	4	131	117	113	148	165	229	2001	1707	3	8	5	22	0	0	10	0	13	1121	3	484	2110	0	194	52	60	461
"Bilophila"	464	143	3	130	5	38	0	71	0	48	635	6	115	492	391	515	249	68	784	0	30	68	861	19	65	42	102	1	221	313	3	233	908	329	85	297	7	77	502	2	38	3	6	125	58	20	342	391	769	415	93	62	693	1365	0	31	183	22	0	324	1	311	145	3	53	344	36	115	60	4	225
"Blautia"	833	431	3294	501	30565	1338	20917	7165	964	775	1794	3148	1063	1099	1205	2577	5043	1051	636	7548	1871	843	1070	1294	4824	544	1385	2336	1102	839	199	477	1578	1557	1262	1256	883	890	2372	3390	354	842	2342	650	336	780	3215	1196	658	2922	4703	5364	4353	2675	2691	11608	957	1304	611	4074	4510	1724	835	4912	2060	2277	1887	15138	656	496	2307
"Butyricicoccus"	119	104	222	206	634	485	119	268	228	211	125	161	488	88	48	691	369	96	276	423	356	90	462	211	267	50	215	125	77	27	22	71	121	195	98	193	387	601	61	215	90	100	255	199	251	264	429	84	112	475	233	193	591	779	223	478	233	119	23	134	301	249	334	2009	207	111	165	1633	82	78	65
"Butyricimonas"	675	332	3	480	9	152	3	64	2	711	1675	6	212	451	109	553	27	417	4099	5	78	71	386	3	34	595	176	218	177	5	9	1335	1093	1009	701	1139	897	85	54	406	83	66	109	4	44	40	153	186	494	98	96	41	1	315	3	24	263	62	19	2	2354	2062	347	3	80	2	32	14	278	96	241
"Butyrivibrio"	6	2	5	11106	1	2	5	5	2	924	2	0	37	0	6	1	0	5	3	0	0	0	0	0	0	20	0	0	1	0	2	0	0	4	0	0	2645	0	0	0	50	18	2	0	2	3	3	0	2	5	1955	0	1	8	4	0	0	2	0	0	0	0	3	0	0	2	0	3	0	3373	0
"Campylobacter"	10	2	0	0	1	0	0	0	0	3	0	3	10	2	0	7	0	7	26	0	5	2	13	11	0	0	0	18	4	6	6	54	4	8	0	0	7	0	28	8	0	4	11	2	89	0	0	5	7	0	2	17	2	0	6	2	0	22	23	0	0	4	139	0	0	0	3	0	0	3	0
"Catabacter"	0	2	0	0	0	0	0	0	0	1	11	0	3	0	0	1	7	0	0	0	2	8	2	0	12	0	0	0	0	0	0	16	3	0	0	4	0	0	8	14	0	0	0	0	0	0	0	0	0	0	7	0	0	4	0	0	7	0	0	0	0	2	0	0	0	4	5	2	0	0	3
"Catenibacterium"	0	18	0	35	1	155	0	110	35	0	135	178	102	160	10	0	4	130	12	0	4	9	5	66	0	3	0	0	17	49	0	11	17	34	22	4	116	24	2	0	35	36	18	0	15	107	0	20	62	0	0	11	1	0	0	0	7	0	0	16	0	0	0	0	0	0	0	0	58	16	0
