"SRR5865065"	"SRR5865066"	"SRR5865067"	"SRR5865068"	"SRR5865069"	"SRR5865070"	"SRR5865071"	"SRR5865072"	"SRR5865073"	"SRR5865074"	"SRR5865075"	"SRR5865076"	"SRR5865077"	"SRR5865078"	"SRR5865079"	"SRR5865080"	"SRR5865081"	"SRR5865082"	"SRR5865083"	"SRR5865084"	"SRR5865085"	"SRR5865086"	"SRR5865087"	"SRR5865088"	"SRR5865089"	"SRR5865090"	"SRR5865091"	"SRR5865092"	"SRR5865093"	"SRR5865094"	"SRR5865095"	"SRR5865096"	"SRR5865097"	"SRR5865098"	"SRR5865099"	"SRR5865100"	"SRR5865101"	"SRR5865102"	"SRR5865103"	"SRR5865104"	"SRR5865105"	"SRR5865106"	"SRR5865107"	"SRR5865108"	"SRR5865109"	"SRR5865110"	"SRR5865111"	"SRR5865112"	"SRR5865113"	"SRR5865114"	"SRR5865115"	"SRR5865116"	"SRR5865117"	"SRR5865118"	"SRR5865119"	"SRR5865120"	"SRR5865121"	"SRR5865122"	"SRR5865123"	"SRR5865124"	"SRR5865125"	"SRR5865126"	"SRR5865127"	"SRR5865128"	"SRR5865129"	"SRR5865130"	"SRR5865131"	"SRR5865132"	"SRR5865133"	"SRR5865134"	"SRR5865135"
"Anaerococcus"	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
"Anaerofilum"	5	22	0	191	0	101	0	9	0	15	52	0	172	0	0	0	101	0	10	0	0	0	12	0	23	11	0	0	0	0	0	2	10	0	0	30	77	0	0	0	0	0	0	0	0	4	0	4	5	0	17	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	6	0	27	0
"Anaerofustis"	0	0	3	0	7	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
"Anaeroglobus"	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	4	0	0	0	3	0	0	0	7	63	113	0	0	0	0	39	0	0	0	0	31	8	0	0	36	22	0	0	0	24	0	0	8	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anaeroplasma"	0	0	0	0	31	0	5	0	0	0	0	0	0	0	0	0	5	0	0	0	3	0	0	0	0	0	0	0	0	0	15	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	8	2	0	0	0	0	0	0	0	0	0	0	5	6	0	5	3	0	0	0
"Anaerosporobacter"	0	0	0	0	0	0	0	0	0	0	339	0	0	0	741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anaerosporomusa"	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anaerostipes"	124	99	2155	29	14738	412	14548	172	363	178	158	794	56	56	942	273	956	48	74	393	146	51	117	82	1168	38	1815	330	1848	67	550	27	35	234	214	218	165	169	43	1181	40	146	483	228	253	80	446	25	31	2771	1319	605	1738	67	1578	2169	109	155	107	208	493	333	345	2313	946	575	331	2557	54	30	1675
"Anaerotruncus"	67	87	9	59	66	0	34	70	0	33	577	0	19	0	208	102	0	13	25	0	15	45	513	0	17	9	0	220	0	0	0	167	17	0	29	136	6	0	278	122	0	0	11	0	0	13	16	0	0	23	26	31	0	85	0	13	0	0	0	0	112	53	0	16	0	0	29	0	15	9	0
"Anaerovorax"	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	3	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	8	0	63	0	0	0	0	0	0	0	0	0	0
