"C1.sm.bam"	"C2.sm.bam"	"C3.sm.bam"	"C4.sm.bam"	"C5.sm.bam"	"T1.sm.bam"	"T2.sm.bam"	"T3.sm.bam"	"T4.sm.bam"	"T5.sm.bam"
"Solyc00g125980.1"	0.284997510764479	0	0	0	0	0	0	0	0	0
"Solyc00g127660.2"	2.28762906126251	2.22517994358485	2.05743850421476	2.05309455847459	2.19071995212733	2.26811502452626	1.89030910315733	2.12122387001442	2.11239957815029	2.11070859476961
"Solyc00g127670.1"	0	0.446406831483151	0.33573733910721	0	0	0.354690153939281	0	0	0	0.258999022496285
"Solyc00g127870.2"	2.80935404770683	2.71055607016224	2.7131089324583	2.59728501444061	2.62995578887028	2.83121921471768	2.18348822883784	2.79513055752105	2.80764551055751	2.84045352710955
"Solyc00g128870.2"	0	0.278200211277516	0	0	0	0	0	0.315266490047392	0.747463727753208	0
"Solyc00g135260.1"	0	0.278200211277516	0	0	0	0	0	0	0	0
"Solyc00g140060.2"	0.874632377377886	1.29774280482883	1.10256866446255	1.12014550356756	1.3569741973119	0.54728949613226	0	0.927705721668581	0	0.826630670124478
"Solyc00g143770.1"	0.284997510764479	0	0	0	0	0.54728949613226	0	0	0	0
"Solyc00g145170.1"	0.284997510764479	0.278200211277516	0.33573733910721	0.198748500880882	0	0	0	0	0	0
"Solyc00g153680.1"	0	0	0	0	0.289061541442611	0	0	0	0	0
"Solyc00g154480.1"	0	0.278200211277516	0	0	0	0	0	0	0	0
"Solyc00g157080.1"	2.75056501325285	3.09799432937239	2.97685941540376	3.01719019918068	2.98647211355342	2.71185181689281	2.68508056832954	2.74978020089464	2.43187690688645	2.72649374179564
"Solyc00g157180.2"	0	0.278200211277516	0	0	0.289061541442611	0	0	0	0	0
"Solyc00g164680.1"	0.284997510764479	0.446406831483151	0.33573733910721	0.43790869009435	0	0	0.444553051114546	0	0	0.258999022496285
"Solyc00g170210.2"	0.455610330853233	0.446406831483151	0.33573733910721	0.521312084030318	0	0.933394906009432	0	0.496001395184529	0	0
"Solyc00g171710.1"	2.40360736414086	2.53866284070106	2.52602239511178	2.36543627347949	2.41197798355225	2.40199092953221	2.05440269813369	2.32013867973127	2.30418706940848	2.37863293842175
"Solyc00g171810.2"	0.284997510764479	0	0	0	0	0.354690153939281	0.444553051114546	0	0	0.258999022496285
"Solyc00g174330.2"	0.577783712567142	0.739406391237923	0.903000993909004	0.793999344517201	0.978213483034707	0.781907295243113	0.996348636832851	0.801625910074328	0.937072028605144	0.826630670124478
"Solyc00g175240.1"	0.455610330853233	0	0	0.198748500880882	0	0	0	0	0	0
"Solyc00g179240.1"	0	0	0.33573733910721	0.521312084030318	0	0	0	0	0	0.258999022496285
"Solyc00g179640.1"	0	0	0	0	0	0	0	0	0	0.258999022496285
"Solyc00g180840.1"	0.284997510764479	0.278200211277516	0.753243908967735	0.43790869009435	0.461088880463895	0	0	0	0.403158760520572	0.537382659060561
"Solyc00g186050.1"	1.04932086530786	1.0363647903544	0.753243908967735	1.08013273835644	1.09158357936626	0.864222992607854	0.659584477855108	1.02529894335422	0.403158760520572	0.420124669874008
"Solyc00g201160.2"	0.455610330853233	0	0.33573733910721	0	0	0	0	0	0	0
"Solyc00g209560.1"	0	0	0	0	0	0	0	0	0.403158760520572	0
"Solyc00g215560.1"	0.284997510764479	0.567348910982336	0.522807552272921	0.43790869009435	0.758016568376963	0.680252775692172	0	0	0	0
"Solyc00g217960.1"	0	0.446406831483151	0.33573733910721	0.198748500880882	0.289061541442611	0	0	0.315266490047392	0.747463727753208	0.258999022496285
"Solyc00g218560.1"	0	0	0	0	0	0	0	0	0.403158760520572	0
"Solyc00g227860.1"	0	0	0	0	0	0.354690153939281	0	0	0	0
"Solyc00g230080.1"	0	0.278200211277516	0	0.198748500880882	0	0	0	0	0	0.420124669874008
"Solyc00g231680.1"	0	0	0	0	0.289061541442611	0	0	0	0	0
"Solyc00g249900.2"	0	0	0	0	0.583981306933828	0	0	0	0	0
"Solyc00g255510.1"	0.284997510764479	0	0	0.334587479824386	0	0	0	0.496001395184529	0	0.258999022496285
"Solyc00g256710.1"	0	0.278200211277516	0	0.198748500880882	0	0	0	0	0	0.258999022496285
"Solyc00g257110.2"	5.19680791097404	5.28534037292337	5.24656876822926	5.2309116213621	5.26999840595282	5.08731023937824	4.42166772689021	5.02751238694191	4.95126903154766	5.06471811595889
"Solyc00g263210.1"	0	0	0	0	0.289061541442611	0.354690153939281	0	0	0	0
"Solyc00g265110.2"	0	0	0	0.198748500880882	0	0	0	0.315266490047392	0	0
"Solyc00g265510.1"	0	0	0	0	0.289061541442611	0	0	0	0	0
"Solyc00g273110.1"	1.53643847929526	1.3529911403795	1.40644246155732	1.39434023619769	1.25578958208422	1.39789752261965	1.58487784423651	1.40710017129845	1.57663323843135	1.5159393997688
"Solyc00g278110.2"	0	0	0	0	0	0	0	0	0	0.420124669874008
"Solyc00g282510.1"	0.284997510764479	0.278200211277516	0	0	0.289061541442611	0.354690153939281	0	0.315266490047392	0	0.258999022496285
"Solyc00g311230.2"	0.284997510764479	0	0	0	0.289061541442611	0	0	0	0	0
"Solyc00g323130.2"	0	0	0	0	0	0	0	0.315266490047392	0	0
"Solyc01g005000.2"	0	0	0	0	0.289061541442611	0	0	0	0	0
"Solyc01g005010.2"	0.673026020994006	0.739406391237923	0.653133409713319	0.832721286074173	1.1236316616183	0.680252775692172	0.444553051114546	0.315266490047392	0.403158760520572	0.705654882895141
"Solyc01g005020.2"	0.874632377377886	0.446406831483151	0.653133409713319	0.591249758842577	0.461088880463895	0.354690153939281	0	0.721529640488759	0	0
"Solyc01g005030.2"	0.577783712567142	0.912787498338794	0.33573733910721	0.521312084030318	0.679658889740153	0.354690153939281	0	0	0	0.537382659060561
"Solyc01g005050.2"	3.6893846184934	3.53287005158405	3.6255365373494	3.55925970215832	3.5626550617025	3.81831710101834	4.5805211021009	3.80486295300703	3.95741761730923	3.89257917376312
"Solyc01g005060.2"	0.284997510764479	0	0	0	0	0	0	0.315266490047392	0	0
"Solyc01g005070.2"	3.62150447797522	3.58259657829782	3.63420761278704	3.62111339464687	3.62691052712345	3.64743652674482	3.58234933412418	3.74527018988482	3.7232848504091	3.60754407004057
"Solyc01g005080.2"	1.08386675790234	1.07081211007098	0.653133409713319	0.931677702591852	0.824374137922097	1.13450515349505	0.444553051114546	0.979237937174417	0.937072028605144	0.705654882895141
"Solyc01g005100.2"	0	0	0	0	0.461088880463895	0	0	0	0	0
"Solyc01g005110.2"	2.11369081106166	1.91265903336867	2.05743850421476	1.92120369898109	1.97161120795707	2.25914734561647	2.29872504505413	2.30891235010074	2.29417626571829	2.27734139127259
"Solyc01g005120.2"	1.29115292190469	1.18642763648495	1.10256866446255	1.12014550356756	1.3916564636785	1.20834325725562	1.23170650346216	1.25687081191447	1.16943944515073	1.19532413190472
"Solyc01g005200.1"	0	0	0	0	0.289061541442611	0	0.802757722611525	0.315266490047392	0	0
"Solyc01g005230.2"	0	0	0	0.198748500880882	0	0	0	0.496001395184529	0	0
"Solyc01g005240.2"	2.92160063006363	2.96848100064275	2.87020477314903	2.8815191557354	2.87938757566427	2.9240990038873	2.35006751131206	2.73808554538753	2.61070194921087	2.64959703182689
"Solyc01g005250.2"	0	0.567348910982336	0.33573733910721	0.334587479824386	0	0.680252775692172	0.444553051114546	0	0	0.420124669874008
"Solyc01g005300.2"	0	0	0	0	0	0.354690153939281	0	0	0	0
"Solyc01g005310.2"	1.83701054429767	2.04338123063307	1.99038618271862	1.9360555472213	1.91051256348388	1.69015272687055	0.910251913078478	1.48948233662689	1.55865006660983	1.70540357950951
"Solyc01g005330.2"	0.284997510764479	0	0	0	0	0	0	0	0	0
"Solyc01g005360.2"	0.751091895528673	0.567348910982336	0.753243908967735	0.591249758842577	0.824374137922097	0.680252775692172	1.12977968605083	0.315266490047392	0.852534344056924	1.21734494648547
"Solyc01g005370.2"	0.455610330853233	0.567348910982336	0.753243908967735	0.651471429679972	0.289061541442611	0.781907295243113	0.802757722611525	0.315266490047392	0.608573690963013	0.62961816387403
"Solyc01g005390.2"	1.6669686958812	1.86216980115625	1.73762274618245	1.59441412128854	1.67519295628723	1.87805462972504	2.34309414714551	1.85369067587197	2.02141734171952	2.06440981086026
"Solyc01g005400.2"	0.455610330853233	0.278200211277516	0	0.198748500880882	0	0.54728949613226	0.444553051114546	0	0	0.258999022496285
"Solyc01g005430.2"	3.64902086607878	3.64460701878447	3.64741168433318	3.63165818842502	3.58585763039248	3.65308190768243	2.90592974043093	3.63234840507184	3.5895291286016	3.53984217695514
"Solyc01g005450.2"	0.284997510764479	0.278200211277516	0.33573733910721	0	0.583981306933828	0.354690153939281	0	0.315266490047392	0	0.420124669874008
"Solyc01g005480.2"	0	0.278200211277516	0.33573733910721	0.198748500880882	0	0	0	0	0	0
"Solyc01g005490.2"	1.62128650452669	1.48600741113731	1.51178478293769	1.38405405939175	1.46789023900906	1.6171779435163	1.41439794053964	1.57131311097134	1.53988996475874	1.60362665538924
"Solyc01g005500.2"	0.284997510764479	0.278200211277516	0.33573733910721	0.198748500880882	0.289061541442611	0.354690153939281	1.06816849128789	0.496001395184529	0	0.258999022496285
"Solyc01g005510.2"	5.07960385533466	5.17984368948869	5.20065807546744	5.14020050288285	5.20825004184603	5.02025486175664	4.59657865194575	5.00699063652188	4.89793977631365	5.02216197721827
"Solyc01g005520.2"	0	0	0	0	0.289061541442611	0	0.444553051114546	0	0	0.258999022496285
"Solyc01g005540.2"	0.455610330853233	0	0	0	0	0	0	0	0	0
"Solyc01g005560.2"	1.11586602956251	0.661843155426087	0.522807552272921	0.986995051900937	0.679658889740153	0.864222992607854	0.910251913078478	0.869225109620574	0.852534344056924	0.826630670124478
"Solyc01g005570.2"	0	0.446406831483151	0.33573733910721	0	0.289061541442611	0.54728949613226	0.444553051114546	0	0	0
"Solyc01g005580.2"	0.751091895528673	0.739406391237923	0.33573733910721	0.521312084030318	0.461088880463895	0.781907295243113	0	0.721529640488759	0.608573690963013	0.62961816387403
"Solyc01g005590.2"	0	0.278200211277516	0.33573733910721	0	0	0.354690153939281	0	0	0.608573690963013	0
"Solyc01g005600.2"	2.13486857201519	2.1786775701183	1.97990272884174	2.07271735474032	2.2113974724633	2.28266154472443	2.12950992091734	2.13840038154033	2.156278671993	2.12950910861226
"Solyc01g005610.2"	1.95444190648	1.67828329168394	1.62142319476983	2.09555584173674	2.01337938684915	1.56068140697763	1.91923370767101	1.69018859305917	1.81470933118025	1.62931875883392
"Solyc01g005620.2"	1.83110796097294	1.77336754516617	1.7467936706269	1.83453884600353	1.79564595552247	1.77158264772385	1.58487784423651	1.36920854108542	1.4781945560308	1.55710999319689
