"C1.sm.bam"	"C2.sm.bam"	"C3.sm.bam"	"C4.sm.bam"	"C5.sm.bam"	"T1.sm.bam"	"T2.sm.bam"	"T3.sm.bam"	"T4.sm.bam"	"T5.sm.bam"
"Solyc00g231680.1"	0	0	0	0	1	0	0	0	0	0
"Solyc00g249900.2"	0	0	0	0	3	0	0	0	0	0
"Solyc00g255510.1"	1	0	0	2	0	0	0	2	0	1
"Solyc00g256710.1"	0	1	0	1	0	0	0	0	0	1
"Solyc00g257110.2"	169623	214914	151259	293246	196912	96804	14806	99882	58413	142326
"Solyc00g263210.1"	0	0	0	0	1	1	0	0	0	0
"Solyc00g265110.2"	0	0	0	1	0	0	0	1	0	0
"Solyc00g265510.1"	0	0	0	0	1	0	0	0	0	0
"Solyc00g273110.1"	36	24	21	41	18	19	21	23	24	39
"Solyc00g278110.2"	0	0	0	0	0	0	0	0	0	2
"Solyc00g282510.1"	1	1	0	0	1	1	0	1	0	1
"Solyc00g311230.2"	1	0	0	0	1	0	0	0	0	0
"Solyc00g323130.2"	0	0	0	0	0	0	0	1	0	0
"Solyc01g005000.2"	0	0	0	0	1	0	0	0	0	0
"Solyc01g005010.2"	4	5	3	10	13	3	1	1	1	5
"Solyc01g005020.2"	7	2	3	5	2	1	0	4	0	0
"Solyc01g005030.2"	3	8	1	4	4	1	0	0	0	3
"Solyc01g005050.2"	5272	3799	3619	6244	3862	5210	21345	5981	5924	9574
"Solyc01g005060.2"	1	0	0	0	0	0	0	1	0	0
"Solyc01g005070.2"	4509	4260	3692	7200	4478	3515	2143	5214	3455	4966
"Solyc01g005080.2"	12	12	3	13	6	10	1	8	5	5
"Solyc01g005100.2"	0	0	0	0	2	0	0	0	0	0
"Solyc01g005110.2"	139	90	97	142	98	143	111	190	128	231
"Solyc01g005120.2"	20	16	10	21	25	12	9	16	9	18
"Solyc01g005200.1"	0	0	0	0	1	0	3	1	0	0
"Solyc01g005230.2"	0	0	0	1	0	0	0	2	0	0
"Solyc01g005240.2"	899	1035	635	1310	800	664	125	512	266	546
"Solyc01g005250.2"	0	3	1	2	0	3	1	0	0	2
